Origin,FlightDate,Region
LGA,18,MiddleAtlantic
JFK,18,MiddleAtlantic
BUF,31,MiddleAtlantic
BHM,5,MiddleAtlantic
JFK,21,MiddleAtlantic
LGA,21,MiddleAtlantic
BHM,17,MiddleAtlantic
BHM,3,MiddleAtlantic
LGA,25,MiddleAtlantic
PIT,4,MiddleAtlantic
EWR,9,MiddleAtlantic
PHL,28,MiddleAtlantic
LGA,27,MiddleAtlantic
PIT,12,MiddleAtlantic
JFK,12,MiddleAtlantic
EWR,1,MiddleAtlantic
PHL,7,MiddleAtlantic
JFK,7,MiddleAtlantic
BUF,20,MiddleAtlantic
PHL,27,MiddleAtlantic
SYR,20,MiddleAtlantic
LGA,2,MiddleAtlantic
PIT,22,MiddleAtlantic
EWR,19,MiddleAtlantic
PIT,1,MiddleAtlantic
PIT,31,MiddleAtlantic
SYR,29,MiddleAtlantic
BHM,18,MiddleAtlantic
BUF,3,MiddleAtlantic
BUF,27,MiddleAtlantic
BHM,30,MiddleAtlantic
ROC,24,MiddleAtlantic
BUF,6,MiddleAtlantic
EWR,23,MiddleAtlantic
SYR,18,MiddleAtlantic
JFK,27,MiddleAtlantic
EWR,20,MiddleAtlantic
ROC,13,MiddleAtlantic
EWR,8,MiddleAtlantic
JFK,20,MiddleAtlantic
ROC,9,MiddleAtlantic
PIT,20,MiddleAtlantic
ROC,31,MiddleAtlantic
BHM,9,MiddleAtlantic
BUF,9,MiddleAtlantic
BUF,26,MiddleAtlantic
LGA,23,MiddleAtlantic
PHL,19,MiddleAtlantic
LGA,13,MiddleAtlantic
SYR,4,MiddleAtlantic
LGA,5,MiddleAtlantic
ROC,2,MiddleAtlantic
PIT,24,MiddleAtlantic
LGA,8,MiddleAtlantic
PHL,2,MiddleAtlantic
JFK,6,MiddleAtlantic
PHL,3,MiddleAtlantic
EWR,22,MiddleAtlantic
ROC,28,MiddleAtlantic
PHL,18,MiddleAtlantic
PIT,10,MiddleAtlantic
PIT,15,MiddleAtlantic
ROC,7,MiddleAtlantic
BHM,29,MiddleAtlantic
PIT,6,MiddleAtlantic
ROC,4,MiddleAtlantic
BHM,27,MiddleAtlantic
SYR,24,MiddleAtlantic
EWR,14,MiddleAtlantic
ROC,3,MiddleAtlantic
