Origin,FlightDate,Region
MSP,19,WestNorthCentral
NE,4,WestNorthCentral
NE,10,WestNorthCentral
STL,9,WestNorthCentral
DFW,27,WestNorthCentral
NE,22,WestNorthCentral
DSM,17,WestNorthCentral
DFW,18,WestNorthCentral
STL,21,WestNorthCentral
STL,25,WestNorthCentral
MSP,1,WestNorthCentral
DSM,31,WestNorthCentral
NE,5,WestNorthCentral
MCI,28,WestNorthCentral
STL,23,WestNorthCentral
ICT,8,WestNorthCentral
DFW,6,WestNorthCentral
MSP,24,WestNorthCentral
DFW,21,WestNorthCentral
ICT,29,WestNorthCentral
MSP,3,WestNorthCentral
DSM,23,WestNorthCentral
ICT,24,WestNorthCentral
ICT,26,WestNorthCentral
DSM,15,WestNorthCentral
DSM,9,WestNorthCentral
MSP,23,WestNorthCentral
DFW,30,WestNorthCentral
DSM,10,WestNorthCentral
ICT,14,WestNorthCentral
MSP,27,WestNorthCentral
ICT,27,WestNorthCentral
DSM,29,WestNorthCentral
DSM,2,WestNorthCentral
MCI,1,WestNorthCentral
DFW,20,WestNorthCentral
MCI,8,WestNorthCentral
DSM,1,WestNorthCentral
STL,13,WestNorthCentral
DFW,22,WestNorthCentral
MSP,8,WestNorthCentral
NE,17,WestNorthCentral
NE,14,WestNorthCentral
DSM,28,WestNorthCentral
STL,16,WestNorthCentral
STL,14,WestNorthCentral
MSP,20,WestNorthCentral
STL,1,WestNorthCentral
STL,18,WestNorthCentral
MSP,11,WestNorthCentral
MCI,7,WestNorthCentral
NE,27,WestNorthCentral
STL,8,WestNorthCentral
DSM,7,WestNorthCentral
NE,19,WestNorthCentral
