Origin,FlightDate,Region
IAH,12,WestSouthCentral
OKC,3,WestSouthCentral
OKC,5,WestSouthCentral
TUL,1,WestSouthCentral
ELP,11,WestSouthCentral
ELP,16,WestSouthCentral
ELP,14,WestSouthCentral
SAT,6,WestSouthCentral
MSY,29,WestSouthCentral
ELP,28,WestSouthCentral
DAL,1,WestSouthCentral
SAT,15,WestSouthCentral
MSY,2,WestSouthCentral
IAH,18,WestSouthCentral
LIT,9,WestSouthCentral
HOU,27,WestSouthCentral
DAL,9,WestSouthCentral
LIT,6,WestSouthCentral
IAH,3,WestSouthCentral
IAH,7,WestSouthCentral
HOU,21,WestSouthCentral
AUS,21,WestSouthCentral
IAH,21,WestSouthCentral
OKC,25,WestSouthCentral
DAL,23,WestSouthCentral
AUS,5,WestSouthCentral
ELP,2,WestSouthCentral
HOU,18,WestSouthCentral
DAL,11,WestSouthCentral
SAT,18,WestSouthCentral
MSY,22,WestSouthCentral
DAL,19,WestSouthCentral
AUS,18,WestSouthCentral
HOU,3,WestSouthCentral
LIT,12,WestSouthCentral
IAH,19,WestSouthCentral
HOU,19,WestSouthCentral
OKC,2,WestSouthCentral
MSY,18,WestSouthCentral
LIT,15,WestSouthCentral
SAT,27,WestSouthCentral
AUS,9,WestSouthCentral
TUL,14,WestSouthCentral
HOU,9,WestSouthCentral
SAT,23,WestSouthCentral
OKC,19,WestSouthCentral
DAL,25,WestSouthCentral
SAT,7,WestSouthCentral
SAT,20,WestSouthCentral
TUL,29,WestSouthCentral
AUS,8,WestSouthCentral
ELP,7,WestSouthCentral
ELP,15,WestSouthCentral
AUS,27,WestSouthCentral
SAT,31,WestSouthCentral
LIT,18,WestSouthCentral
MSY,31,WestSouthCentral
MSY,24,WestSouthCentral
LIT,13,WestSouthCentral
HOU,7,WestSouthCentral
ELP,19,WestSouthCentral
MSY,19,WestSouthCentral
AUS,23,WestSouthCentral
AUS,13,WestSouthCentral
DAL,8,WestSouthCentral
TUL,7,WestSouthCentral
IAH,27,WestSouthCentral
DAL,20,WestSouthCentral
LIT,21,WestSouthCentral
AUS,25,WestSouthCentral
IAH,20,WestSouthCentral
MSY,11,WestSouthCentral
IAH,4,WestSouthCentral
OKC,6,WestSouthCentral
MSY,25,WestSouthCentral
AUS,2,WestSouthCentral
HOU,14,WestSouthCentral
LIT,24,WestSouthCentral
