Origin,FlightDate,Region
DEN,2017-01-22,Mountain
SMF,2017-01-23,Pacific
IAH,2017-01-07,WestSouthCentral
MSY,2017-01-26,WestSouthCentral
BHM,2017-01-21,MiddleAtlantic
IAD,2017-01-16,SouthAtlantic
OGG,2017-01-28,Pacific
RIC,2017-01-13,SouthAtlantic
TUS,2017-01-28,Mountain
DTW,2017-01-03,EastNorthCentral
BUR,2017-01-14,Pacific
SAN,2017-01-15,Pacific
HNL,2017-01-24,Pacific
SMF,2017-01-29,Pacific
DFW,2017-01-16,WestNorthCentral
ORF,2017-01-31,SouthAtlantic
PSP,2017-01-06,Pacific
DCA,2017-01-26,SouthAtlantic
MHT,2017-01-28,NewEngland
DEN,2017-01-27,Mountain
MEM,2017-01-31,EastSouthCentral
PVD,2017-01-05,NewEngland
IND,2017-01-21,EastNorthCentral
NE,2017-01-09,WestNorthCentral
BHM,2017-01-30,EastSouthCentral
OAK,2017-01-03,Pacific
KOA,2017-01-09,Pacific
DSM,2017-01-19,WestNorthCentral
ONT,2017-01-08,Pacific
CLE,2017-01-19,EastNorthCentral
GEG,2017-01-03,Pacific
BWI,2017-01-12,SouthAtlantic
SYR,2017-01-28,MiddleAtlantic
MSN,2017-01-25,EastNorthCentral
PVD,2017-01-20,NewEngland
MDW,2017-01-08,EastNorthCentral
DTW,2017-01-11,EastNorthCentral
SNA,2017-01-12,Pacific
CMH,2017-01-14,EastNorthCentral
CMH,2017-01-04,EastNorthCentral
PHX,2017-01-02,Mountain
MSN,2017-01-21,EastNorthCentral
SFB,2017-01-30,SouthAtlantic
PSP,2017-01-03,Pacific
TUL,2017-01-23,WestSouthCentral
LIT,2017-01-06,WestSouthCentral
MHT,2017-01-06,NewEngland
ROC,2017-01-14,MiddleAtlantic
CVG,2017-01-24,EastNorthCentral
TUL,2017-01-20,WestSouthCentral
PWM,2017-01-31,NewEngland
RDU,2017-01-06,SouthAtlantic
MIA,2017-01-13,SouthAtlantic
ONT,2017-01-16,Pacific
BUF,2017-01-07,MiddleAtlantic
GRR,2017-01-06,EastNorthCentral
STL,2017-01-09,WestNorthCentral
GSO,2017-01-31,SouthAtlantic
LAS,2017-01-04,Mountain
MSY,2017-01-18,WestSouthCentral
DTW,2017-01-16,EastNorthCentral
FLL,2017-01-13,SouthAtlantic
TYS,2017-01-16,EastSouthCentral
LAS,2017-01-27,Mountain
AUS,2017-01-03,WestSouthCentral
DAY,2017-01-07,EastNorthCentral
MSY,2017-01-24,WestSouthCentral
DAL,2017-01-01,WestSouthCentral
SFB,2017-01-28,SouthAtlantic
PNS,2017-01-18,SouthAtlantic
GRR,2017-01-13,EastNorthCentral
SMF,2017-01-13,Pacific
SDF,2017-01-26,EastSouthCentral
CVG,2017-01-13,EastNorthCentral
DAL,2017-01-19,WestSouthCentral
PDX,2017-01-27,Pacific
MIA,2017-01-16,SouthAtlantic
MKE,2017-01-02,EastNorthCentral
SDF,2017-01-28,EastSouthCentral
FLL,2017-01-10,SouthAtlantic
ROC,2017-01-17,MiddleAtlantic
CLT,2017-01-28,SouthAtlantic
SEA,2017-01-23,Pacific
ELP,2017-01-26,WestSouthCentral
MHT,2017-01-15,NewEngland
DAL,2017-01-27,WestSouthCentral
MCI,2017-01-19,WestNorthCentral
DEN,2017-01-10,Mountain
BWI,2017-01-24,SouthAtlantic
BOI,2017-01-21,Mountain
ICT,2017-01-17,WestNorthCentral
LAX,2017-01-10,Pacific
LIH,2017-01-24,Pacific
MYR,2017-01-10,SouthAtlantic
SLC,2017-01-09,Mountain
MIA,2017-01-24,SouthAtlantic
SLC,2017-01-12,Mountain
STL,2017-01-24,WestNorthCentral
JAX,2017-01-10,SouthAtlantic
MSY,2017-01-13,WestSouthCentral
MYR,2017-01-23,SouthAtlantic
PBI,2017-01-10,SouthAtlantic
BNA,2017-01-22,EastSouthCentral
CVG,2017-01-31,EastNorthCentral
CLT,2017-01-07,SouthAtlantic
BHM,2017-01-12,MiddleAtlantic
SLC,2017-01-04,Mountain
AUS,2017-01-22,WestSouthCentral
MSP,2017-01-20,WestNorthCentral
MSY,2017-01-19,WestSouthCentral
CHS,2017-01-08,SouthAtlantic
BHM,2017-01-08,EastSouthCentral
LIT,2017-01-29,WestSouthCentral
OGG,2017-01-20,Pacific
SFB,2017-01-02,SouthAtlantic
MCO,2017-01-31,SouthAtlantic
KOA,2017-01-18,Pacific
SAN,2017-01-09,Pacific
CHS,2017-01-31,SouthAtlantic
SAT,2017-01-09,WestSouthCentral
OAK,2017-01-20,Pacific
DTW,2017-01-08,EastNorthCentral
GSP,2017-01-21,SouthAtlantic
ELP,2017-01-02,WestSouthCentral
MSP,2017-01-27,WestNorthCentral
PIT,2017-01-30,MiddleAtlantic
MSP,2017-01-18,WestNorthCentral
DAY,2017-01-22,EastNorthCentral
LAS,2017-01-06,Mountain
STL,2017-01-30,WestNorthCentral
ICT,2017-01-11,WestNorthCentral
LAS,2017-01-15,Mountain
IAH,2017-01-04,WestSouthCentral
JAX,2017-01-14,SouthAtlantic
DAY,2017-01-24,EastNorthCentral
TPA,2017-01-19,SouthAtlantic
KOA,2017-01-01,Pacific
SFO,2017-01-08,Pacific
IND,2017-01-22,EastNorthCentral
BUR,2017-01-24,Pacific
CLT,2017-01-12,SouthAtlantic
BOI,2017-01-13,Mountain
TPA,2017-01-04,SouthAtlantic
BHM,2017-01-02,EastSouthCentral
MKE,2017-01-03,EastNorthCentral
SFB,2017-01-04,SouthAtlantic
NE,2017-01-12,WestNorthCentral
ONT,2017-01-27,Pacific
DAY,2017-01-15,EastNorthCentral
DFW,2017-01-15,WestNorthCentral
SJC,2017-01-10,Pacific
GEG,2017-01-07,Pacific
DAL,2017-01-11,WestSouthCentral
DSM,2017-01-18,WestNorthCentral
LGB,2017-01-19,Pacific
BWI,2017-01-31,SouthAtlantic
ABQ,2017-01-25,Mountain
SLC,2017-01-23,Mountain
RNO,2017-01-26,Mountain
LAS,2017-01-11,Mountain
PNS,2017-01-07,SouthAtlantic
PIT,2017-01-20,MiddleAtlantic
SEA,2017-01-10,Pacific
BUR,2017-01-27,Pacific
ORF,2017-01-19,SouthAtlantic
PBI,2017-01-14,SouthAtlantic
MEM,2017-01-19,EastSouthCentral
SAT,2017-01-27,WestSouthCentral
BHM,2017-01-26,EastSouthCentral
ROC,2017-01-21,MiddleAtlantic
OKC,2017-01-24,WestSouthCentral
BOS,2017-01-04,NewEngland
HOU,2017-01-24,WestSouthCentral
COS,2017-01-20,Mountain
TYS,2017-01-15,EastSouthCentral
JAX,2017-01-03,SouthAtlantic
ANC,2017-01-29,Pacific
PHX,2017-01-26,Mountain
PIT,2017-01-03,MiddleAtlantic
IAH,2017-01-20,WestSouthCentral
HOU,2017-01-07,WestSouthCentral
LAS,2017-01-08,Mountain
MYR,2017-01-14,SouthAtlantic
MDW,2017-01-17,EastNorthCentral
JFK,2017-01-25,MiddleAtlantic
PDX,2017-01-19,Pacific
LGA,2017-01-11,MiddleAtlantic
ROC,2017-01-07,MiddleAtlantic
SDF,2017-01-22,EastSouthCentral
ABQ,2017-01-04,Mountain
ICT,2017-01-31,WestNorthCentral
BHM,2017-01-05,EastSouthCentral
BUF,2017-01-16,MiddleAtlantic
BUF,2017-01-06,MiddleAtlantic
SNA,2017-01-31,Pacific
BUR,2017-01-08,Pacific
PHL,2017-01-01,MiddleAtlantic
SAN,2017-01-13,Pacific
BNA,2017-01-06,EastSouthCentral
PSP,2017-01-11,Pacific
SAN,2017-01-06,Pacific
PVD,2017-01-30,NewEngland
SDF,2017-01-09,EastSouthCentral
MYR,2017-01-31,SouthAtlantic
ATL,2017-01-17,SouthAtlantic
PDX,2017-01-28,Pacific
BNA,2017-01-05,EastSouthCentral
CMH,2017-01-25,EastNorthCentral
IND,2017-01-14,EastNorthCentral
BDL,2017-01-02,NewEngland
MIA,2017-01-03,SouthAtlantic
GEG,2017-01-28,Pacific
FLL,2017-01-07,SouthAtlantic
MEM,2017-01-24,EastSouthCentral
MSY,2017-01-02,WestSouthCentral
OAK,2017-01-05,Pacific
ABQ,2017-01-19,Mountain
DAL,2017-01-23,WestSouthCentral
SDF,2017-01-23,EastSouthCentral
LGB,2017-01-25,Pacific
FLL,2017-01-06,SouthAtlantic
DTW,2017-01-13,EastNorthCentral
CLE,2017-01-07,EastNorthCentral
MKE,2017-01-06,EastNorthCentral
MCO,2017-01-07,SouthAtlantic
DCA,2017-01-04,SouthAtlantic
JAX,2017-01-27,SouthAtlantic
ICT,2017-01-01,WestNorthCentral
SAT,2017-01-07,WestSouthCentral
SAV,2017-01-25,SouthAtlantic
PNS,2017-01-19,SouthAtlantic
DEN,2017-01-25,Mountain
BOS,2017-01-26,NewEngland
ELP,2017-01-23,WestSouthCentral
NE,2017-01-18,WestNorthCentral
MIA,2017-01-10,SouthAtlantic
BOI,2017-01-17,Mountain
PWM,2017-01-07,NewEngland
MYR,2017-01-25,SouthAtlantic
MIA,2017-01-25,SouthAtlantic
SDF,2017-01-27,EastSouthCentral
SAV,2017-01-03,SouthAtlantic
ONT,2017-01-04,Pacific
DSM,2017-01-05,WestNorthCentral
MIA,2017-01-23,SouthAtlantic
AUS,2017-01-21,WestSouthCentral
PVD,2017-01-18,NewEngland
PHX,2017-01-22,Mountain
PIE,2017-01-30,SouthAtlantic
CVG,2017-01-17,EastNorthCentral
JAX,2017-01-16,SouthAtlantic
NE,2017-01-26,WestNorthCentral
CVG,2017-01-05,EastNorthCentral
EWR,2017-01-14,MiddleAtlantic
BDL,2017-01-21,NewEngland
GRR,2017-01-11,EastNorthCentral
PVD,2017-01-02,NewEngland
PNS,2017-01-25,SouthAtlantic
CMH,2017-01-20,EastNorthCentral
BOS,2017-01-17,NewEngland
EWR,2017-01-29,MiddleAtlantic
CLT,2017-01-15,SouthAtlantic
DCA,2017-01-19,SouthAtlantic
BHM,2017-01-30,MiddleAtlantic
LAX,2017-01-30,Pacific
CHS,2017-01-17,SouthAtlantic
MSY,2017-01-25,WestSouthCentral
DAL,2017-01-30,WestSouthCentral
CHS,2017-01-02,SouthAtlantic
RIC,2017-01-29,SouthAtlantic
BNA,2017-01-27,EastSouthCentral
GSP,2017-01-07,SouthAtlantic
BUF,2017-01-28,MiddleAtlantic
TPA,2017-01-22,SouthAtlantic
ELP,2017-01-29,WestSouthCentral
TUL,2017-01-19,WestSouthCentral
PDX,2017-01-03,Pacific
OGG,2017-01-11,Pacific
JFK,2017-01-04,MiddleAtlantic
TUS,2017-01-03,Mountain
MSY,2017-01-29,WestSouthCentral
BDL,2017-01-04,NewEngland
SJC,2017-01-06,Pacific
EWR,2017-01-25,MiddleAtlantic
LIT,2017-01-04,WestSouthCentral
BUR,2017-01-09,Pacific
TYS,2017-01-12,EastSouthCentral
SNA,2017-01-21,Pacific
PHL,2017-01-16,MiddleAtlantic
SEA,2017-01-20,Pacific
GRR,2017-01-28,EastNorthCentral
DAY,2017-01-01,EastNorthCentral
ATL,2017-01-10,SouthAtlantic
BOS,2017-01-14,NewEngland
RDU,2017-01-21,SouthAtlantic
ORF,2017-01-11,SouthAtlantic
EWR,2017-01-24,MiddleAtlantic
ABQ,2017-01-07,Mountain
ABQ,2017-01-03,Mountain
COS,2017-01-23,Mountain
COS,2017-01-19,Mountain
BDL,2017-01-09,NewEngland
GSP,2017-01-19,SouthAtlantic
