Origin,FlightDate,Region
PHL,13,MiddleAtlantic
BHM,11,MiddleAtlantic
EWR,13,MiddleAtlantic
BHM,31,MiddleAtlantic
JFK,28,MiddleAtlantic
EWR,24,MiddleAtlantic
SYR,21,MiddleAtlantic
EWR,16,MiddleAtlantic
LGA,16,MiddleAtlantic
PIT,18,MiddleAtlantic
PHL,14,MiddleAtlantic
PIT,25,MiddleAtlantic
LGA,9,MiddleAtlantic
BUF,10,MiddleAtlantic
JFK,30,MiddleAtlantic
PHL,21,MiddleAtlantic
PHL,20,MiddleAtlantic
SYR,28,MiddleAtlantic
SYR,26,MiddleAtlantic
BUF,23,MiddleAtlantic
ROC,18,MiddleAtlantic
JFK,17,MiddleAtlantic
SYR,23,MiddleAtlantic
LGA,4,MiddleAtlantic
BHM,24,MiddleAtlantic
LGA,17,MiddleAtlantic
LGA,1,MiddleAtlantic
EWR,7,MiddleAtlantic
EWR,27,MiddleAtlantic
SYR,27,MiddleAtlantic
SYR,1,MiddleAtlantic
JFK,22,MiddleAtlantic
PHL,1,MiddleAtlantic
ROC,6,MiddleAtlantic
PIT,19,MiddleAtlantic
PHL,30,MiddleAtlantic
PHL,10,MiddleAtlantic
SYR,16,MiddleAtlantic
BHM,19,MiddleAtlantic
ROC,22,MiddleAtlantic
BUF,17,MiddleAtlantic
PIT,3,MiddleAtlantic
PIT,29,MiddleAtlantic
EWR,3,MiddleAtlantic
EWR,11,MiddleAtlantic
EWR,25,MiddleAtlantic
ROC,16,MiddleAtlantic
LGA,12,MiddleAtlantic
ROC,20,MiddleAtlantic
SYR,31,MiddleAtlantic
BUF,18,MiddleAtlantic
LGA,14,MiddleAtlantic
PHL,15,MiddleAtlantic
ROC,19,MiddleAtlantic
SYR,7,MiddleAtlantic
PIT,11,MiddleAtlantic
PHL,9,MiddleAtlantic
EWR,15,MiddleAtlantic
SYR,8,MiddleAtlantic
BUF,4,MiddleAtlantic
JFK,24,MiddleAtlantic
PIT,14,MiddleAtlantic
EWR,6,MiddleAtlantic
BUF,7,MiddleAtlantic
ROC,15,MiddleAtlantic
PHL,24,MiddleAtlantic
BUF,13,MiddleAtlantic
SYR,9,MiddleAtlantic
LGA,30,MiddleAtlantic
PIT,17,MiddleAtlantic
PHL,5,MiddleAtlantic
EWR,21,MiddleAtlantic
PHL,8,MiddleAtlantic
JFK,29,MiddleAtlantic
BHM,8,MiddleAtlantic
LGA,3,MiddleAtlantic
SYR,22,MiddleAtlantic
SYR,17,MiddleAtlantic
SYR,14,MiddleAtlantic
BHM,2,MiddleAtlantic
BHM,26,MiddleAtlantic
JFK,13,MiddleAtlantic
EWR,17,MiddleAtlantic
JFK,23,MiddleAtlantic
PIT,5,MiddleAtlantic
PHL,22,MiddleAtlantic
BHM,6,MiddleAtlantic
BHM,28,MiddleAtlantic
BUF,30,MiddleAtlantic
LGA,26,MiddleAtlantic
PIT,27,MiddleAtlantic
PIT,16,MiddleAtlantic
BUF,22,MiddleAtlantic
EWR,29,MiddleAtlantic
JFK,15,MiddleAtlantic
SYR,2,MiddleAtlantic
SYR,30,MiddleAtlantic
BHM,20,MiddleAtlantic
JFK,5,MiddleAtlantic
SYR,11,MiddleAtlantic
PHL,26,MiddleAtlantic
LGA,19,MiddleAtlantic
SYR,15,MiddleAtlantic
PHL,11,MiddleAtlantic
ROC,17,MiddleAtlantic
BHM,15,MiddleAtlantic
LGA,20,MiddleAtlantic
JFK,9,MiddleAtlantic
PHL,16,MiddleAtlantic
SYR,19,MiddleAtlantic
SYR,10,MiddleAtlantic
ROC,23,MiddleAtlantic
JFK,11,MiddleAtlantic
PHL,25,MiddleAtlantic
EWR,10,MiddleAtlantic
ROC,30,MiddleAtlantic
BUF,28,MiddleAtlantic
BHM,4,MiddleAtlantic
PIT,7,MiddleAtlantic
LGA,7,MiddleAtlantic
BUF,16,MiddleAtlantic
PIT,23,MiddleAtlantic
ROC,5,MiddleAtlantic
LGA,22,MiddleAtlantic
JFK,25,MiddleAtlantic
BHM,16,MiddleAtlantic
EWR,4,MiddleAtlantic
LGA,29,MiddleAtlantic
ROC,21,MiddleAtlantic
PIT,13,MiddleAtlantic
BUF,12,MiddleAtlantic
BUF,19,MiddleAtlantic
JFK,1,MiddleAtlantic
PHL,6,MiddleAtlantic
PHL,31,MiddleAtlantic
JFK,31,MiddleAtlantic
JFK,16,MiddleAtlantic
BUF,2,MiddleAtlantic
EWR,18,MiddleAtlantic
PIT,26,MiddleAtlantic
ROC,14,MiddleAtlantic
BUF,25,MiddleAtlantic
ROC,27,MiddleAtlantic
BHM,12,MiddleAtlantic
JFK,4,MiddleAtlantic
BUF,11,MiddleAtlantic
JFK,2,MiddleAtlantic
PHL,23,MiddleAtlantic
BHM,22,MiddleAtlantic
JFK,19,MiddleAtlantic
JFK,3,MiddleAtlantic
PHL,4,MiddleAtlantic
LGA,10,MiddleAtlantic
SYR,6,MiddleAtlantic
PIT,2,MiddleAtlantic
SYR,13,MiddleAtlantic
PIT,30,MiddleAtlantic
PIT,28,MiddleAtlantic
ROC,1,MiddleAtlantic
EWR,26,MiddleAtlantic
BUF,29,MiddleAtlantic
LGA,28,MiddleAtlantic
BHM,25,MiddleAtlantic
ROC,12,MiddleAtlantic
BHM,21,MiddleAtlantic
ROC,25,MiddleAtlantic
EWR,12,MiddleAtlantic
BHM,13,MiddleAtlantic
BUF,15,MiddleAtlantic
EWR,2,MiddleAtlantic
ROC,11,MiddleAtlantic
BHM,23,MiddleAtlantic
JFK,8,MiddleAtlantic
BUF,1,MiddleAtlantic
PHL,17,MiddleAtlantic
BHM,10,MiddleAtlantic
PIT,21,MiddleAtlantic
LGA,15,MiddleAtlantic
ROC,26,MiddleAtlantic
SYR,5,MiddleAtlantic
ROC,10,MiddleAtlantic
PHL,12,MiddleAtlantic
EWR,30,MiddleAtlantic
BHM,7,MiddleAtlantic
JFK,10,MiddleAtlantic
EWR,5,MiddleAtlantic
BUF,21,MiddleAtlantic
EWR,31,MiddleAtlantic
BUF,14,MiddleAtlantic
LGA,6,MiddleAtlantic
PIT,8,MiddleAtlantic
LGA,24,MiddleAtlantic
SYR,25,MiddleAtlantic
JFK,14,MiddleAtlantic
JFK,26,MiddleAtlantic
LGA,11,MiddleAtlantic
BHM,14,MiddleAtlantic
BHM,1,MiddleAtlantic
LGA,31,MiddleAtlantic
EWR,28,MiddleAtlantic
BUF,5,MiddleAtlantic
PHL,29,MiddleAtlantic
ROC,8,MiddleAtlantic
SYR,12,MiddleAtlantic
SYR,3,MiddleAtlantic
PIT,9,MiddleAtlantic
BUF,8,MiddleAtlantic
BUF,24,MiddleAtlantic
ROC,29,MiddleAtlantic
