Origin,FlightDate,Region
SLC,13,Mountain
BOI,11,Mountain
LAS,13,Mountain
BOI,31,Mountain
DEN,28,Mountain
LAS,24,Mountain
COS,21,Mountain
LAS,16,Mountain
PHX,16,Mountain
ABQ,18,Mountain
SLC,14,Mountain
ABQ,25,Mountain
PHX,9,Mountain
RNO,10,Mountain
DEN,30,Mountain
SLC,21,Mountain
SLC,20,Mountain
COS,28,Mountain
COS,26,Mountain
RNO,23,Mountain
TUS,18,Mountain
DEN,17,Mountain
COS,23,Mountain
PHX,4,Mountain
BOI,24,Mountain
PHX,17,Mountain
PHX,1,Mountain
LAS,7,Mountain
LAS,27,Mountain
COS,27,Mountain
COS,1,Mountain
DEN,22,Mountain
SLC,1,Mountain
TUS,6,Mountain
ABQ,19,Mountain
SLC,30,Mountain
SLC,10,Mountain
COS,16,Mountain
BOI,19,Mountain
TUS,22,Mountain
RNO,17,Mountain
ABQ,3,Mountain
ABQ,29,Mountain
LAS,3,Mountain
LAS,11,Mountain
LAS,25,Mountain
TUS,16,Mountain
PHX,12,Mountain
TUS,20,Mountain
COS,31,Mountain
RNO,18,Mountain
PHX,14,Mountain
SLC,15,Mountain
TUS,19,Mountain
COS,7,Mountain
ABQ,11,Mountain
SLC,9,Mountain
LAS,15,Mountain
COS,8,Mountain
RNO,4,Mountain
DEN,24,Mountain
ABQ,14,Mountain
LAS,6,Mountain
RNO,7,Mountain
TUS,15,Mountain
SLC,24,Mountain
RNO,13,Mountain
COS,9,Mountain
PHX,30,Mountain
ABQ,17,Mountain
SLC,5,Mountain
LAS,21,Mountain
SLC,8,Mountain
DEN,29,Mountain
BOI,8,Mountain
PHX,3,Mountain
COS,22,Mountain
COS,17,Mountain
COS,14,Mountain
BOI,2,Mountain
BOI,26,Mountain
DEN,13,Mountain
LAS,17,Mountain
DEN,23,Mountain
ABQ,5,Mountain
SLC,22,Mountain
BOI,6,Mountain
BOI,28,Mountain
RNO,30,Mountain
PHX,26,Mountain
ABQ,27,Mountain
ABQ,16,Mountain
RNO,22,Mountain
LAS,29,Mountain
DEN,15,Mountain
COS,2,Mountain
COS,30,Mountain
BOI,20,Mountain
DEN,5,Mountain
COS,11,Mountain
SLC,26,Mountain
PHX,19,Mountain
COS,15,Mountain
SLC,11,Mountain
TUS,17,Mountain
BOI,15,Mountain
PHX,20,Mountain
DEN,9,Mountain
SLC,16,Mountain
COS,19,Mountain
COS,10,Mountain
TUS,23,Mountain
DEN,11,Mountain
SLC,25,Mountain
LAS,10,Mountain
TUS,30,Mountain
RNO,28,Mountain
BOI,4,Mountain
ABQ,7,Mountain
PHX,7,Mountain
RNO,16,Mountain
ABQ,23,Mountain
TUS,5,Mountain
PHX,22,Mountain
DEN,25,Mountain
BOI,16,Mountain
LAS,4,Mountain
PHX,29,Mountain
TUS,21,Mountain
ABQ,13,Mountain
RNO,12,Mountain
RNO,19,Mountain
DEN,1,Mountain
SLC,6,Mountain
SLC,31,Mountain
DEN,31,Mountain
DEN,16,Mountain
RNO,2,Mountain
LAS,18,Mountain
ABQ,26,Mountain
TUS,14,Mountain
RNO,25,Mountain
TUS,27,Mountain
BOI,12,Mountain
DEN,4,Mountain
RNO,11,Mountain
DEN,2,Mountain
SLC,23,Mountain
BOI,22,Mountain
DEN,19,Mountain
DEN,3,Mountain
SLC,4,Mountain
PHX,10,Mountain
COS,6,Mountain
ABQ,2,Mountain
COS,13,Mountain
ABQ,30,Mountain
ABQ,28,Mountain
TUS,1,Mountain
LAS,26,Mountain
RNO,29,Mountain
PHX,28,Mountain
BOI,25,Mountain
TUS,12,Mountain
BOI,21,Mountain
TUS,25,Mountain
LAS,12,Mountain
BOI,13,Mountain
RNO,15,Mountain
LAS,2,Mountain
TUS,11,Mountain
BOI,23,Mountain
DEN,8,Mountain
RNO,1,Mountain
SLC,17,Mountain
BOI,10,Mountain
ABQ,21,Mountain
PHX,15,Mountain
TUS,26,Mountain
COS,5,Mountain
TUS,10,Mountain
SLC,12,Mountain
LAS,30,Mountain
BOI,7,Mountain
DEN,10,Mountain
LAS,5,Mountain
RNO,21,Mountain
LAS,31,Mountain
RNO,14,Mountain
PHX,6,Mountain
ABQ,8,Mountain
PHX,24,Mountain
COS,25,Mountain
DEN,14,Mountain
DEN,26,Mountain
PHX,11,Mountain
BOI,14,Mountain
BOI,1,Mountain
PHX,31,Mountain
LAS,28,Mountain
RNO,5,Mountain
SLC,29,Mountain
TUS,8,Mountain
COS,12,Mountain
COS,3,Mountain
ABQ,9,Mountain
RNO,8,Mountain
RNO,24,Mountain
TUS,29,Mountain
