Origin,FlightDate,Region
PWM,24,NewEngland
PWM,19,NewEngland
BDL,9,NewEngland
PWM,17,NewEngland
MHT,14,NewEngland
PWM,2,NewEngland
BOS,18,NewEngland
PWM,23,NewEngland
BOS,9,NewEngland
MHT,5,NewEngland
BOS,5,NewEngland
MHT,16,NewEngland
BDL,20,NewEngland
BOS,15,NewEngland
MHT,1,NewEngland
PVD,14,NewEngland
BDL,6,NewEngland
BOS,11,NewEngland
MHT,3,NewEngland
BDL,23,NewEngland
PVD,27,NewEngland
PWM,22,NewEngland
MHT,26,NewEngland
PWM,14,NewEngland
BDL,24,NewEngland
PVD,2,NewEngland
MHT,9,NewEngland
BDL,15,NewEngland
PVD,16,NewEngland
MHT,6,NewEngland
PVD,22,NewEngland
PWM,26,NewEngland
PVD,25,NewEngland
PVD,9,NewEngland
BDL,4,NewEngland
MHT,4,NewEngland
BOS,30,NewEngland
BDL,29,NewEngland
PWM,21,NewEngland
PWM,7,NewEngland
PWM,5,NewEngland
BOS,16,NewEngland
BDL,13,NewEngland
BDL,18,NewEngland
BOS,22,NewEngland
MHT,30,NewEngland
BDL,21,NewEngland
MHT,23,NewEngland
PVD,29,NewEngland
BOS,4,NewEngland
PWM,13,NewEngland
BOS,2,NewEngland
PVD,18,NewEngland
BOS,19,NewEngland
BOS,3,NewEngland
PVD,10,NewEngland
PVD,12,NewEngland
BOS,13,NewEngland
PWM,31,NewEngland
PWM,1,NewEngland
BOS,24,NewEngland
MHT,11,NewEngland
BDL,26,NewEngland
BDL,25,NewEngland
PVD,28,NewEngland
PVD,21,NewEngland
PVD,17,NewEngland
MHT,21,NewEngland
MHT,7,NewEngland
PVD,30,NewEngland
BDL,3,NewEngland
BDL,2,NewEngland
MHT,28,NewEngland
PVD,19,NewEngland
BOS,8,NewEngland
BDL,12,NewEngland
MHT,17,NewEngland
PVD,8,NewEngland
PWM,27,NewEngland
PVD,15,NewEngland
MHT,22,NewEngland
MHT,2,NewEngland
MHT,8,NewEngland
MHT,12,NewEngland
BDL,30,NewEngland
PVD,4,NewEngland
BOS,10,NewEngland
PWM,16,NewEngland
BDL,17,NewEngland
PWM,18,NewEngland
BOS,28,NewEngland
BDL,31,NewEngland
PWM,10,NewEngland
PVD,24,NewEngland
PWM,4,NewEngland
BOS,17,NewEngland
BOS,14,NewEngland
PWM,30,NewEngland
BOS,26,NewEngland
PVD,11,NewEngland
PWM,25,NewEngland
PVD,31,NewEngland
BDL,28,NewEngland
BDL,16,NewEngland
MHT,29,NewEngland
PWM,29,NewEngland
PVD,5,NewEngland
PWM,9,NewEngland
BOS,25,NewEngland
BOS,31,NewEngland
PWM,11,NewEngland
BOS,1,NewEngland
PWM,15,NewEngland
PWM,12,NewEngland
PVD,6,NewEngland
BDL,5,NewEngland
