Origin,FlightDate,Region
SNA,1,Pacific
ANC,1,Pacific
GEG,1,Pacific
SMF,1,Pacific
SJC,1,Pacific
SJC,1,Pacific
SAN,1,Pacific
ANC,1,Pacific
HNL,1,Pacific
KOA,1,Pacific
GEG,1,Pacific
OGG,1,Pacific
LAX,1,Pacific
SEA,1,Pacific
LAX,1,Pacific
ANC,1,Pacific
BUR,1,Pacific
LIH,1,Pacific
LAX,1,Pacific
SMF,1,Pacific
SJC,1,Pacific
SJC,1,Pacific
SFO,1,Pacific
SEA,1,Pacific
ANC,1,Pacific
SJC,1,Pacific
SFO,1,Pacific
SAN,1,Pacific
KOA,1,Pacific
BUR,1,Pacific
SEA,1,Pacific
GEG,1,Pacific
ONT,1,Pacific
GEG,1,Pacific
LAX,1,Pacific
PDX,1,Pacific
SFO,1,Pacific
OAK,1,Pacific
PSP,1,Pacific
GEG,1,Pacific
LIH,1,Pacific
PSP,1,Pacific
SJC,1,Pacific
SAN,1,Pacific
SJC,1,Pacific
ONT,1,Pacific
ONT,1,Pacific
SNA,1,Pacific
GEG,1,Pacific
LGB,1,Pacific
BUR,1,Pacific
SNA,1,Pacific
SFO,1,Pacific
PDX,1,Pacific
LGB,1,Pacific
SNA,1,Pacific
OGG,1,Pacific
SJC,1,Pacific
PSP,1,Pacific
PSP,1,Pacific
OGG,1,Pacific
GEG,1,Pacific
GEG,1,Pacific
SFO,1,Pacific
KOA,1,Pacific
PSP,1,Pacific
PSP,1,Pacific
SAN,1,Pacific
SEA,1,Pacific
GEG,1,Pacific
LGB,1,Pacific
ANC,1,Pacific
BUR,1,Pacific
LAX,1,Pacific
GEG,1,Pacific
HNL,1,Pacific
SAN,1,Pacific
SJC,1,Pacific
LAX,1,Pacific
ONT,1,Pacific
LIH,1,Pacific
SNA,1,Pacific
LIH,1,Pacific
KOA,1,Pacific
ONT,1,Pacific
SJC,1,Pacific
LGB,1,Pacific
SMF,1,Pacific
SAN,1,Pacific
LGB,1,Pacific
OAK,1,Pacific
SMF,1,Pacific
SEA,1,Pacific
HNL,1,Pacific
BUR,1,Pacific
ANC,1,Pacific
LAX,1,Pacific
ANC,1,Pacific
ONT,1,Pacific
HNL,1,Pacific
KOA,1,Pacific
PDX,1,Pacific
SFO,1,Pacific
BUR,1,Pacific
SJC,1,Pacific
LAX,1,Pacific
SAN,1,Pacific
HNL,1,Pacific
GEG,1,Pacific
PSP,1,Pacific
