Origin,FlightDate,Region
PBI,28,SouthAtlantic
BWI,27,SouthAtlantic
FLL,7,SouthAtlantic
PNS,31,SouthAtlantic
PNS,30,SouthAtlantic
ATL,29,SouthAtlantic
CLT,14,SouthAtlantic
CLT,20,SouthAtlantic
RDU,9,SouthAtlantic
PNS,19,SouthAtlantic
PBI,22,SouthAtlantic
DCA,26,SouthAtlantic
BWI,31,SouthAtlantic
TPA,5,SouthAtlantic
JAX,2,SouthAtlantic
FLL,25,SouthAtlantic
PIE,2,SouthAtlantic
DCA,2,SouthAtlantic
PNS,10,SouthAtlantic
ATL,21,SouthAtlantic
MYR,2,SouthAtlantic
CLT,25,SouthAtlantic
RIC,14,SouthAtlantic
MCO,3,SouthAtlantic
SAV,15,SouthAtlantic
BWI,7,SouthAtlantic
CHS,28,SouthAtlantic
DCA,4,SouthAtlantic
SAV,4,SouthAtlantic
SFB,20,SouthAtlantic
RDU,10,SouthAtlantic
TPA,28,SouthAtlantic
RSW,30,SouthAtlantic
PBI,24,SouthAtlantic
PNS,24,SouthAtlantic
CLT,31,SouthAtlantic
MIA,22,SouthAtlantic
CLT,16,SouthAtlantic
SFB,24,SouthAtlantic
RSW,6,SouthAtlantic
CLT,21,SouthAtlantic
IAD,27,SouthAtlantic
IAD,25,SouthAtlantic
ORF,17,SouthAtlantic
IAD,10,SouthAtlantic
JAX,22,SouthAtlantic
DCA,27,SouthAtlantic
RIC,30,SouthAtlantic
PBI,5,SouthAtlantic
JAX,12,SouthAtlantic
GSO,26,SouthAtlantic
SFB,14,SouthAtlantic
GSO,2,SouthAtlantic
JAX,9,SouthAtlantic
JAX,31,SouthAtlantic
ATL,22,SouthAtlantic
PNS,25,SouthAtlantic
SFB,25,SouthAtlantic
RSW,21,SouthAtlantic
IAD,20,SouthAtlantic
GSP,27,SouthAtlantic
DCA,28,SouthAtlantic
PIE,11,SouthAtlantic
MYR,22,SouthAtlantic
CHS,31,SouthAtlantic
MIA,1,SouthAtlantic
RSW,17,SouthAtlantic
DCA,31,SouthAtlantic
PNS,18,SouthAtlantic
RSW,10,SouthAtlantic
MIA,13,SouthAtlantic
RDU,26,SouthAtlantic
RIC,19,SouthAtlantic
FLL,13,SouthAtlantic
JAX,16,SouthAtlantic
FLL,6,SouthAtlantic
MIA,21,SouthAtlantic
RSW,12,SouthAtlantic
TPA,9,SouthAtlantic
PIE,22,SouthAtlantic
JAX,21,SouthAtlantic
PIE,4,SouthAtlantic
CLT,2,SouthAtlantic
CHS,17,SouthAtlantic
RDU,31,SouthAtlantic
RIC,29,SouthAtlantic
FLL,23,SouthAtlantic
DCA,15,SouthAtlantic
MCO,14,SouthAtlantic
ORF,25,SouthAtlantic
GSO,29,SouthAtlantic
PBI,19,SouthAtlantic
CLT,27,SouthAtlantic
RDU,23,SouthAtlantic
BWI,8,SouthAtlantic
PBI,30,SouthAtlantic
IAD,6,SouthAtlantic
ORF,31,SouthAtlantic
MIA,30,SouthAtlantic
RIC,13,SouthAtlantic
RDU,3,SouthAtlantic
MYR,12,SouthAtlantic
MCO,9,SouthAtlantic
RIC,21,SouthAtlantic
FLL,18,SouthAtlantic
GSO,24,SouthAtlantic
CHS,23,SouthAtlantic
PBI,26,SouthAtlantic
MIA,26,SouthAtlantic
GSP,19,SouthAtlantic
RDU,20,SouthAtlantic
BWI,1,SouthAtlantic
SFB,26,SouthAtlantic
DCA,6,SouthAtlantic
MYR,10,SouthAtlantic
TPA,2,SouthAtlantic
TPA,23,SouthAtlantic
CHS,15,SouthAtlantic
JAX,23,SouthAtlantic
GSP,5,SouthAtlantic
PBI,11,SouthAtlantic
PIE,26,SouthAtlantic
ORF,20,SouthAtlantic
TPA,26,SouthAtlantic
MCO,11,SouthAtlantic
ATL,10,SouthAtlantic
RSW,14,SouthAtlantic
GSO,10,SouthAtlantic
TPA,8,SouthAtlantic
ATL,7,SouthAtlantic
JAX,28,SouthAtlantic
PBI,10,SouthAtlantic
CLT,22,SouthAtlantic
MCO,25,SouthAtlantic
ORF,16,SouthAtlantic
RIC,3,SouthAtlantic
RDU,15,SouthAtlantic
MIA,6,SouthAtlantic
PBI,9,SouthAtlantic
RIC,18,SouthAtlantic
SAV,26,SouthAtlantic
RDU,22,SouthAtlantic
ATL,15,SouthAtlantic
IAD,7,SouthAtlantic
BWI,21,SouthAtlantic
RDU,14,SouthAtlantic
SFB,5,SouthAtlantic
TPA,15,SouthAtlantic
DCA,22,SouthAtlantic
RIC,5,SouthAtlantic
IAD,31,SouthAtlantic
PBI,17,SouthAtlantic
GSO,20,SouthAtlantic
PBI,15,SouthAtlantic
CHS,16,SouthAtlantic
ORF,13,SouthAtlantic
IAD,14,SouthAtlantic
GSP,2,SouthAtlantic
GSP,20,SouthAtlantic
CHS,25,SouthAtlantic
CLT,11,SouthAtlantic
BWI,15,SouthAtlantic
PBI,12,SouthAtlantic
GSO,31,SouthAtlantic
RDU,24,SouthAtlantic
IAD,1,SouthAtlantic
TPA,31,SouthAtlantic
RDU,27,SouthAtlantic
SAV,14,SouthAtlantic
SFB,15,SouthAtlantic
MCO,2,SouthAtlantic
BWI,14,SouthAtlantic
RIC,23,SouthAtlantic
ATL,30,SouthAtlantic
PIE,20,SouthAtlantic
FLL,31,SouthAtlantic
MIA,12,SouthAtlantic
TPA,20,SouthAtlantic
PNS,15,SouthAtlantic
TPA,29,SouthAtlantic
GSO,11,SouthAtlantic
RIC,24,SouthAtlantic
PBI,23,SouthAtlantic
MCO,15,SouthAtlantic
CLT,12,SouthAtlantic
GSO,22,SouthAtlantic
IAD,24,SouthAtlantic
RSW,22,SouthAtlantic
DCA,11,SouthAtlantic
GSO,9,SouthAtlantic
MCO,27,SouthAtlantic
RIC,16,SouthAtlantic
ATL,4,SouthAtlantic
SFB,1,SouthAtlantic
DCA,3,SouthAtlantic
FLL,12,SouthAtlantic
CHS,10,SouthAtlantic
ORF,11,SouthAtlantic
BWI,24,SouthAtlantic
RDU,12,SouthAtlantic
