Origin,FlightDate,Region
CVG,18,EastNorthCentral
MKE,6,EastNorthCentral
DAY,30,EastNorthCentral
DAY,15,EastNorthCentral
CVG,13,EastNorthCentral
CLE,21,EastNorthCentral
CLE,30,EastNorthCentral
DTW,8,EastNorthCentral
MSN,4,EastNorthCentral
ORD,27,EastNorthCentral
DTW,20,EastNorthCentral
IND,11,EastNorthCentral
MKE,16,EastNorthCentral
ORD,20,EastNorthCentral
IND,1,EastNorthCentral
CMH,24,EastNorthCentral
DAY,12,EastNorthCentral
ORD,4,EastNorthCentral
MKE,13,EastNorthCentral
CVG,10,EastNorthCentral
IND,31,EastNorthCentral
MDW,9,EastNorthCentral
IND,26,EastNorthCentral
MSN,5,EastNorthCentral
GRR,17,EastNorthCentral
MSN,29,EastNorthCentral
CVG,20,EastNorthCentral
GRR,30,EastNorthCentral
IND,12,EastNorthCentral
MDW,5,EastNorthCentral
CMH,28,EastNorthCentral
CVG,23,EastNorthCentral
ORD,6,EastNorthCentral
CLE,27,EastNorthCentral
DTW,22,EastNorthCentral
MSN,6,EastNorthCentral
DAY,11,EastNorthCentral
MSN,8,EastNorthCentral
GRR,29,EastNorthCentral
CLE,10,EastNorthCentral
DAY,20,EastNorthCentral
CMH,29,EastNorthCentral
ORD,25,EastNorthCentral
DAY,17,EastNorthCentral
MSN,2,EastNorthCentral
DTW,13,EastNorthCentral
MSN,7,EastNorthCentral
ORD,28,EastNorthCentral
DTW,24,EastNorthCentral
MSN,10,EastNorthCentral
ORD,10,EastNorthCentral
DAY,26,EastNorthCentral
DAY,5,EastNorthCentral
IND,2,EastNorthCentral
GRR,14,EastNorthCentral
IND,13,EastNorthCentral
DTW,7,EastNorthCentral
DAY,22,EastNorthCentral
CLE,6,EastNorthCentral
MKE,2,EastNorthCentral
GRR,28,EastNorthCentral
ORD,17,EastNorthCentral
MDW,4,EastNorthCentral
MKE,7,EastNorthCentral
MDW,17,EastNorthCentral
CLE,28,EastNorthCentral
DAY,1,EastNorthCentral
CVG,15,EastNorthCentral
ORD,22,EastNorthCentral
CMH,4,EastNorthCentral
DTW,12,EastNorthCentral
MDW,14,EastNorthCentral
CVG,30,EastNorthCentral
DTW,26,EastNorthCentral
MKE,10,EastNorthCentral
CLE,13,EastNorthCentral
MSN,25,EastNorthCentral
DAY,19,EastNorthCentral
DTW,3,EastNorthCentral
MDW,15,EastNorthCentral
MDW,12,EastNorthCentral
IND,15,EastNorthCentral
MKE,25,EastNorthCentral
IND,14,EastNorthCentral
CLE,15,EastNorthCentral
GRR,4,EastNorthCentral
DAY,16,EastNorthCentral
MSN,3,EastNorthCentral
DTW,15,EastNorthCentral
DAY,29,EastNorthCentral
CMH,19,EastNorthCentral
GRR,23,EastNorthCentral
ORD,24,EastNorthCentral
CVG,3,EastNorthCentral
IND,6,EastNorthCentral
MKE,30,EastNorthCentral
CMH,27,EastNorthCentral
DTW,6,EastNorthCentral
MKE,24,EastNorthCentral
GRR,31,EastNorthCentral
CMH,8,EastNorthCentral
CLE,24,EastNorthCentral
GRR,1,EastNorthCentral
MKE,15,EastNorthCentral
MKE,27,EastNorthCentral
MDW,30,EastNorthCentral
IND,17,EastNorthCentral
CMH,17,EastNorthCentral
CLE,5,EastNorthCentral
DTW,21,EastNorthCentral
CLE,8,EastNorthCentral
CVG,25,EastNorthCentral
ORD,29,EastNorthCentral
CVG,17,EastNorthCentral
MKE,31,EastNorthCentral
MDW,3,EastNorthCentral
MSN,26,EastNorthCentral
MSN,12,EastNorthCentral
MKE,9,EastNorthCentral
CLE,31,EastNorthCentral
MSN,27,EastNorthCentral
GRR,19,EastNorthCentral
CMH,20,EastNorthCentral
CVG,26,EastNorthCentral
GRR,15,EastNorthCentral
MKE,19,EastNorthCentral
IND,10,EastNorthCentral
ORD,13,EastNorthCentral
DTW,17,EastNorthCentral
ORD,23,EastNorthCentral
MKE,22,EastNorthCentral
IND,5,EastNorthCentral
CLE,22,EastNorthCentral
CMH,18,EastNorthCentral
ORD,31,EastNorthCentral
GRR,7,EastNorthCentral
CVG,9,EastNorthCentral
MKE,3,EastNorthCentral
MSN,21,EastNorthCentral
MDW,26,EastNorthCentral
MKE,28,EastNorthCentral
IND,27,EastNorthCentral
CMH,26,EastNorthCentral
IND,16,EastNorthCentral
CVG,22,EastNorthCentral
DTW,29,EastNorthCentral
ORD,15,EastNorthCentral
DAY,13,EastNorthCentral
DAY,6,EastNorthCentral
MDW,7,EastNorthCentral
MSN,24,EastNorthCentral
CMH,31,EastNorthCentral
CVG,4,EastNorthCentral
ORD,5,EastNorthCentral
DAY,27,EastNorthCentral
CLE,26,EastNorthCentral
MDW,19,EastNorthCentral
MSN,18,EastNorthCentral
CLE,11,EastNorthCentral
CMH,30,EastNorthCentral
DAY,28,EastNorthCentral
CLE,23,EastNorthCentral
GRR,11,EastNorthCentral
MSN,16,EastNorthCentral
MDW,20,EastNorthCentral
DAY,14,EastNorthCentral
MKE,1,EastNorthCentral
ORD,9,EastNorthCentral
CLE,16,EastNorthCentral
MSN,15,EastNorthCentral
CMH,16,EastNorthCentral
GRR,20,EastNorthCentral
DAY,9,EastNorthCentral
MKE,18,EastNorthCentral
MKE,17,EastNorthCentral
MSN,20,EastNorthCentral
ORD,11,EastNorthCentral
CMH,9,EastNorthCentral
CLE,25,EastNorthCentral
CMH,7,EastNorthCentral
DTW,10,EastNorthCentral
CMH,13,EastNorthCentral
CVG,29,EastNorthCentral
GRR,22,EastNorthCentral
CVG,16,EastNorthCentral
IND,23,EastNorthCentral
MDW,22,EastNorthCentral
DAY,25,EastNorthCentral
MSN,28,EastNorthCentral
MDW,29,EastNorthCentral
CLE,4,EastNorthCentral
CVG,12,EastNorthCentral
CVG,19,EastNorthCentral
ORD,1,EastNorthCentral
GRR,24,EastNorthCentral
DAY,4,EastNorthCentral
ORD,16,EastNorthCentral
CVG,2,EastNorthCentral
DTW,18,EastNorthCentral
MSN,14,EastNorthCentral
MKE,12,EastNorthCentral
CMH,12,EastNorthCentral
MSN,17,EastNorthCentral
CVG,11,EastNorthCentral
ORD,2,EastNorthCentral
CMH,22,EastNorthCentral
GRR,27,EastNorthCentral
GRR,16,EastNorthCentral
MDW,10,EastNorthCentral
IND,30,EastNorthCentral
IND,28,EastNorthCentral
MSN,13,EastNorthCentral
MDW,28,EastNorthCentral
CMH,21,EastNorthCentral
DTW,2,EastNorthCentral
CMH,23,EastNorthCentral
ORD,8,EastNorthCentral
CVG,1,EastNorthCentral
CMH,10,EastNorthCentral
IND,21,EastNorthCentral
DAY,2,EastNorthCentral
CLE,12,EastNorthCentral
DTW,30,EastNorthCentral
MSN,23,EastNorthCentral
DTW,5,EastNorthCentral
CVG,21,EastNorthCentral
GRR,6,EastNorthCentral
DTW,31,EastNorthCentral
CVG,14,EastNorthCentral
MDW,6,EastNorthCentral
IND,8,EastNorthCentral
MDW,24,EastNorthCentral
DAY,3,EastNorthCentral
GRR,25,EastNorthCentral
ORD,14,EastNorthCentral
GRR,13,EastNorthCentral
ORD,26,EastNorthCentral
MDW,11,EastNorthCentral
CMH,14,EastNorthCentral
CMH,1,EastNorthCentral
MDW,31,EastNorthCentral
DTW,28,EastNorthCentral
CVG,5,EastNorthCentral
DAY,24,EastNorthCentral
CLE,29,EastNorthCentral
MKE,8,EastNorthCentral
GRR,12,EastNorthCentral
GRR,3,EastNorthCentral
GRR,9,EastNorthCentral
IND,9,EastNorthCentral
CVG,8,EastNorthCentral
CVG,24,EastNorthCentral
DAY,7,EastNorthCentral
MKE,29,EastNorthCentral
DAY,18,EastNorthCentral
