Origin,FlightDate,Region
TYS,24,EastSouthCentral
TYS,19,EastSouthCentral
MEM,9,EastSouthCentral
TYS,17,EastSouthCentral
BHM,14,EastSouthCentral
TYS,2,EastSouthCentral
BNA,18,EastSouthCentral
TYS,23,EastSouthCentral
BNA,9,EastSouthCentral
BHM,5,EastSouthCentral
BNA,5,EastSouthCentral
BHM,16,EastSouthCentral
MEM,20,EastSouthCentral
BNA,15,EastSouthCentral
BHM,1,EastSouthCentral
SDF,14,EastSouthCentral
MEM,6,EastSouthCentral
BNA,11,EastSouthCentral
BHM,3,EastSouthCentral
MEM,23,EastSouthCentral
SDF,27,EastSouthCentral
TYS,22,EastSouthCentral
BHM,26,EastSouthCentral
TYS,14,EastSouthCentral
MEM,24,EastSouthCentral
SDF,2,EastSouthCentral
BHM,9,EastSouthCentral
MEM,15,EastSouthCentral
SDF,16,EastSouthCentral
BHM,6,EastSouthCentral
SDF,22,EastSouthCentral
TYS,26,EastSouthCentral
SDF,25,EastSouthCentral
SDF,9,EastSouthCentral
MEM,4,EastSouthCentral
BHM,4,EastSouthCentral
BNA,30,EastSouthCentral
MEM,29,EastSouthCentral
TYS,21,EastSouthCentral
TYS,7,EastSouthCentral
TYS,5,EastSouthCentral
BNA,16,EastSouthCentral
MEM,13,EastSouthCentral
MEM,18,EastSouthCentral
BNA,22,EastSouthCentral
BHM,30,EastSouthCentral
MEM,21,EastSouthCentral
BHM,23,EastSouthCentral
SDF,29,EastSouthCentral
BNA,4,EastSouthCentral
TYS,13,EastSouthCentral
BNA,2,EastSouthCentral
SDF,18,EastSouthCentral
BNA,19,EastSouthCentral
BNA,3,EastSouthCentral
SDF,10,EastSouthCentral
SDF,12,EastSouthCentral
BNA,13,EastSouthCentral
TYS,31,EastSouthCentral
TYS,1,EastSouthCentral
BNA,24,EastSouthCentral
BHM,11,EastSouthCentral
MEM,26,EastSouthCentral
MEM,25,EastSouthCentral
SDF,28,EastSouthCentral
SDF,21,EastSouthCentral
SDF,17,EastSouthCentral
BHM,21,EastSouthCentral
BHM,7,EastSouthCentral
SDF,30,EastSouthCentral
MEM,3,EastSouthCentral
MEM,2,EastSouthCentral
BHM,28,EastSouthCentral
SDF,19,EastSouthCentral
BNA,8,EastSouthCentral
MEM,12,EastSouthCentral
BHM,17,EastSouthCentral
SDF,8,EastSouthCentral
TYS,27,EastSouthCentral
SDF,15,EastSouthCentral
BHM,22,EastSouthCentral
BHM,2,EastSouthCentral
BHM,8,EastSouthCentral
BHM,12,EastSouthCentral
MEM,30,EastSouthCentral
SDF,4,EastSouthCentral
BNA,10,EastSouthCentral
TYS,16,EastSouthCentral
MEM,17,EastSouthCentral
TYS,18,EastSouthCentral
BNA,28,EastSouthCentral
MEM,31,EastSouthCentral
TYS,10,EastSouthCentral
SDF,24,EastSouthCentral
TYS,4,EastSouthCentral
BNA,17,EastSouthCentral
BNA,14,EastSouthCentral
TYS,30,EastSouthCentral
BNA,26,EastSouthCentral
SDF,11,EastSouthCentral
TYS,25,EastSouthCentral
SDF,31,EastSouthCentral
MEM,28,EastSouthCentral
MEM,16,EastSouthCentral
BHM,29,EastSouthCentral
TYS,29,EastSouthCentral
SDF,5,EastSouthCentral
TYS,9,EastSouthCentral
BNA,25,EastSouthCentral
BNA,31,EastSouthCentral
TYS,11,EastSouthCentral
BNA,1,EastSouthCentral
TYS,15,EastSouthCentral
TYS,12,EastSouthCentral
SDF,6,EastSouthCentral
MEM,5,EastSouthCentral
