Origin,FlightDate,Region
SNA,31,Pacific
ANC,16,Pacific
GEG,20,Pacific
SMF,15,Pacific
SJC,6,Pacific
SJC,21,Pacific
SAN,30,Pacific
ANC,2,Pacific
HNL,2,Pacific
KOA,27,Pacific
GEG,15,Pacific
OGG,26,Pacific
LAX,18,Pacific
SEA,11,Pacific
LAX,10,Pacific
ANC,28,Pacific
BUR,23,Pacific
LIH,20,Pacific
LAX,7,Pacific
SMF,26,Pacific
SJC,8,Pacific
SJC,9,Pacific
SFO,22,Pacific
SEA,25,Pacific
ANC,18,Pacific
SJC,29,Pacific
SFO,14,Pacific
SAN,6,Pacific
KOA,3,Pacific
BUR,3,Pacific
SEA,14,Pacific
GEG,5,Pacific
ONT,14,Pacific
GEG,6,Pacific
LAX,15,Pacific
PDX,21,Pacific
SFO,27,Pacific
OAK,27,Pacific
PSP,31,Pacific
GEG,25,Pacific
LIH,21,Pacific
PSP,6,Pacific
SJC,10,Pacific
SAN,17,Pacific
SJC,27,Pacific
ONT,27,Pacific
ONT,5,Pacific
SNA,21,Pacific
GEG,18,Pacific
LGB,16,Pacific
BUR,2,Pacific
SNA,27,Pacific
SFO,11,Pacific
PDX,15,Pacific
LGB,3,Pacific
SNA,7,Pacific
OGG,6,Pacific
SJC,23,Pacific
PSP,13,Pacific
PSP,28,Pacific
OGG,21,Pacific
GEG,3,Pacific
GEG,22,Pacific
SFO,19,Pacific
KOA,6,Pacific
PSP,18,Pacific
PSP,7,Pacific
SAN,31,Pacific
SEA,2,Pacific
GEG,17,Pacific
LGB,23,Pacific
ANC,9,Pacific
BUR,25,Pacific
LAX,30,Pacific
GEG,1,Pacific
HNL,31,Pacific
SAN,12,Pacific
SJC,31,Pacific
LAX,21,Pacific
ONT,4,Pacific
LIH,29,Pacific
SNA,3,Pacific
LIH,1,Pacific
KOA,20,Pacific
ONT,21,Pacific
SJC,7,Pacific
LGB,6,Pacific
SMF,9,Pacific
SAN,9,Pacific
LGB,5,Pacific
OAK,11,Pacific
SMF,4,Pacific
SEA,27,Pacific
HNL,6,Pacific
BUR,22,Pacific
ANC,22,Pacific
LAX,4,Pacific
ANC,6,Pacific
ONT,3,Pacific
HNL,12,Pacific
KOA,9,Pacific
PDX,24,Pacific
SFO,25,Pacific
BUR,21,Pacific
SJC,2,Pacific
LAX,17,Pacific
SAN,2,Pacific
HNL,13,Pacific
GEG,10,Pacific
PSP,4,Pacific
SMF,17,Pacific
SFO,23,Pacific
SFO,29,Pacific
PDX,12,Pacific
SMF,19,Pacific
LGB,24,Pacific
ONT,17,Pacific
HNL,29,Pacific
OGG,19,Pacific
ANC,29,Pacific
ANC,11,Pacific
OGG,9,Pacific
OGG,29,Pacific
SMF,8,Pacific
SEA,16,Pacific
PDX,6,Pacific
SAN,3,Pacific
OGG,23,Pacific
SFO,9,Pacific
LIH,26,Pacific
HNL,3,Pacific
BUR,11,Pacific
ANC,13,Pacific
SNA,22,Pacific
ANC,27,Pacific
SEA,4,Pacific
LGB,12,Pacific
LAX,3,Pacific
PDX,23,Pacific
LAX,6,Pacific
PDX,13,Pacific
SMF,16,Pacific
SFO,4,Pacific
ANC,14,Pacific
HNL,11,Pacific
PSP,10,Pacific
SMF,18,Pacific
OGG,12,Pacific
PDX,28,Pacific
ANC,19,Pacific
PDX,26,Pacific
SAN,14,Pacific
SEA,13,Pacific
GEG,11,Pacific
SMF,27,Pacific
LGB,21,Pacific
SFO,1,Pacific
OGG,14,Pacific
GEG,4,Pacific
OAK,29,Pacific
HNL,5,Pacific
ANC,8,Pacific
LGB,28,Pacific
LGB,25,Pacific
SJC,11,Pacific
SAN,10,Pacific
BUR,4,Pacific
OAK,8,Pacific
SMF,10,Pacific
BUR,16,Pacific
SFO,13,Pacific
BUR,15,Pacific
PSP,14,Pacific
SNA,4,Pacific
ONT,7,Pacific
SFO,17,Pacific
SEA,18,Pacific
GEG,14,Pacific
BUR,27,Pacific
BUR,9,Pacific
SAN,20,Pacific
BUR,6,Pacific
LIH,11,Pacific
ONT,8,Pacific
ANC,24,Pacific
SEA,8,Pacific
PDX,30,Pacific
OAK,19,Pacific
SNA,6,Pacific
PSP,9,Pacific
LIH,24,Pacific
PSP,17,Pacific
LGB,10,Pacific
PDX,10,Pacific
KOA,24,Pacific
LAX,27,Pacific
SMF,11,Pacific
HNL,24,Pacific
SAN,16,Pacific
LAX,20,Pacific
OGG,13,Pacific
KOA,29,Pacific
OGG,3,Pacific
OGG,11,Pacific
OAK,21,Pacific
GEG,23,Pacific
GEG,2,Pacific
ONT,9,Pacific
KOA,26,Pacific
SEA,30,Pacific
LIH,6,Pacific
PDX,20,Pacific
BUR,31,Pacific
LGB,14,Pacific
SEA,5,Pacific
BUR,28,Pacific
HNL,4,Pacific
SNA,30,Pacific
SEA,28,Pacific
SJC,16,Pacific
LAX,23,Pacific
KOA,15,Pacific
LAX,25,Pacific
PDX,7,Pacific
ONT,23,Pacific
PSP,20,Pacific
PDX,3,Pacific
SNA,10,Pacific
SNA,8,Pacific
OGG,27,Pacific
LAX,28,Pacific
SNA,11,Pacific
SNA,2,Pacific
SNA,23,Pacific
PSP,23,Pacific
KOA,28,Pacific
SAN,4,Pacific
PSP,3,Pacific
SFO,10,Pacific
SFO,7,Pacific
OAK,5,Pacific
SEA,6,Pacific
PDX,14,Pacific
ANC,7,Pacific
LGB,17,Pacific
KOA,31,Pacific
SMF,25,Pacific
PDX,19,Pacific
ANC,17,Pacific
KOA,7,Pacific
