Origin,FlightDate,Region
MCI,22,WestNorthCentral
DFW,12,WestNorthCentral
MCI,19,WestNorthCentral
DSM,20,WestNorthCentral
DSM,12,WestNorthCentral
NE,16,WestNorthCentral
STL,17,WestNorthCentral
MSP,15,WestNorthCentral
STL,2,WestNorthCentral
MCI,3,WestNorthCentral
NE,20,WestNorthCentral
MSP,14,WestNorthCentral
STL,3,WestNorthCentral
MCI,10,WestNorthCentral
NE,1,WestNorthCentral
MCI,15,WestNorthCentral
ICT,12,WestNorthCentral
MSP,25,WestNorthCentral
MCI,9,WestNorthCentral
MCI,18,WestNorthCentral
STL,30,WestNorthCentral
MSP,7,WestNorthCentral
STL,12,WestNorthCentral
MSP,21,WestNorthCentral
DFW,29,WestNorthCentral
DFW,7,WestNorthCentral
DSM,6,WestNorthCentral
MCI,20,WestNorthCentral
ICT,22,WestNorthCentral
MCI,27,WestNorthCentral
MCI,14,WestNorthCentral
NE,24,WestNorthCentral
ICT,30,WestNorthCentral
MSP,22,WestNorthCentral
ICT,15,WestNorthCentral
MCI,21,WestNorthCentral
DSM,11,WestNorthCentral
DFW,13,WestNorthCentral
MSP,17,WestNorthCentral
MCI,2,WestNorthCentral
MCI,24,WestNorthCentral
NE,3,WestNorthCentral
MSP,9,WestNorthCentral
DSM,16,WestNorthCentral
NE,6,WestNorthCentral
DSM,3,WestNorthCentral
MCI,5,WestNorthCentral
MSP,13,WestNorthCentral
NE,31,WestNorthCentral
MCI,30,WestNorthCentral
DFW,23,WestNorthCentral
ICT,2,WestNorthCentral
MCI,13,WestNorthCentral
NE,7,WestNorthCentral
MSP,29,WestNorthCentral
DFW,15,WestNorthCentral
ICT,28,WestNorthCentral
ICT,17,WestNorthCentral
ICT,19,WestNorthCentral
ICT,11,WestNorthCentral
STL,27,WestNorthCentral
MSP,6,WestNorthCentral
DFW,5,WestNorthCentral
ICT,31,WestNorthCentral
MCI,26,WestNorthCentral
STL,19,WestNorthCentral
ICT,20,WestNorthCentral
MCI,11,WestNorthCentral
STL,26,WestNorthCentral
STL,4,WestNorthCentral
DSM,19,WestNorthCentral
ICT,13,WestNorthCentral
DFW,24,WestNorthCentral
STL,20,WestNorthCentral
DFW,9,WestNorthCentral
MCI,16,WestNorthCentral
DSM,13,WestNorthCentral
ICT,4,WestNorthCentral
DFW,11,WestNorthCentral
MCI,25,WestNorthCentral
MSP,10,WestNorthCentral
ICT,5,WestNorthCentral
STL,7,WestNorthCentral
NE,23,WestNorthCentral
STL,22,WestNorthCentral
ICT,18,WestNorthCentral
ICT,16,WestNorthCentral
MSP,4,WestNorthCentral
STL,29,WestNorthCentral
DSM,22,WestNorthCentral
NE,13,WestNorthCentral
ICT,3,WestNorthCentral
MCI,6,WestNorthCentral
MCI,31,WestNorthCentral
ICT,1,WestNorthCentral
DFW,16,WestNorthCentral
MSP,18,WestNorthCentral
NE,26,WestNorthCentral
DSM,25,WestNorthCentral
DSM,27,WestNorthCentral
DFW,4,WestNorthCentral
DFW,2,WestNorthCentral
MCI,23,WestNorthCentral
DFW,19,WestNorthCentral
DFW,3,WestNorthCentral
MCI,4,WestNorthCentral
STL,10,WestNorthCentral
NE,2,WestNorthCentral
ICT,25,WestNorthCentral
NE,30,WestNorthCentral
NE,28,WestNorthCentral
MSP,26,WestNorthCentral
STL,28,WestNorthCentral
MSP,12,WestNorthCentral
MSP,2,WestNorthCentral
DFW,8,WestNorthCentral
MCI,17,WestNorthCentral
NE,21,WestNorthCentral
STL,15,WestNorthCentral
MCI,12,WestNorthCentral
MSP,30,WestNorthCentral
DFW,10,WestNorthCentral
ICT,10,WestNorthCentral
DSM,21,WestNorthCentral
NE,18,WestNorthCentral
DFW,28,WestNorthCentral
MSP,31,WestNorthCentral
DSM,4,WestNorthCentral
DSM,14,WestNorthCentral
ICT,9,WestNorthCentral
NE,8,WestNorthCentral
STL,24,WestNorthCentral
ICT,6,WestNorthCentral
DSM,26,WestNorthCentral
DFW,17,WestNorthCentral
DFW,14,WestNorthCentral
ICT,23,WestNorthCentral
DFW,26,WestNorthCentral
DSM,30,WestNorthCentral
STL,11,WestNorthCentral
NE,25,WestNorthCentral
STL,31,WestNorthCentral
MSP,28,WestNorthCentral
DSM,5,WestNorthCentral
MSP,16,WestNorthCentral
ICT,21,WestNorthCentral
MCI,29,WestNorthCentral
NE,29,WestNorthCentral
STL,5,WestNorthCentral
ICT,7,WestNorthCentral
DFW,25,WestNorthCentral
DFW,31,WestNorthCentral
NE,11,WestNorthCentral
DFW,1,WestNorthCentral
NE,15,WestNorthCentral
NE,9,WestNorthCentral
DSM,8,WestNorthCentral
DSM,24,WestNorthCentral
NE,12,WestNorthCentral
STL,6,WestNorthCentral
MSP,5,WestNorthCentral
DSM,18,WestNorthCentral
