Origin,FlightDate,Region
HOU,2,WestSouthCentral
ELP,1,WestSouthCentral
HOU,17,WestSouthCentral
LIT,16,WestSouthCentral
ELP,3,WestSouthCentral
SAT,30,WestSouthCentral
IAH,6,WestSouthCentral
DAL,22,WestSouthCentral
TUL,4,WestSouthCentral
OKC,17,WestSouthCentral
HOU,1,WestSouthCentral
TUL,5,WestSouthCentral
SAT,13,WestSouthCentral
ELP,9,WestSouthCentral
TUL,19,WestSouthCentral
MSY,12,WestSouthCentral
HOU,10,WestSouthCentral
MSY,4,WestSouthCentral
LIT,20,WestSouthCentral
DAL,14,WestSouthCentral
LIT,14,WestSouthCentral
TUL,8,WestSouthCentral
DAL,27,WestSouthCentral
HOU,20,WestSouthCentral
HOU,30,WestSouthCentral
DAL,13,WestSouthCentral
AUS,16,WestSouthCentral
OKC,15,WestSouthCentral
IAH,28,WestSouthCentral
DAL,24,WestSouthCentral
LIT,19,WestSouthCentral
DAL,16,WestSouthCentral
ELP,26,WestSouthCentral
OKC,8,WestSouthCentral
IAH,10,WestSouthCentral
LIT,7,WestSouthCentral
ELP,5,WestSouthCentral
MSY,1,WestSouthCentral
OKC,11,WestSouthCentral
TUL,21,WestSouthCentral
MSY,20,WestSouthCentral
ELP,13,WestSouthCentral
IAH,30,WestSouthCentral
DAL,7,WestSouthCentral
AUS,1,WestSouthCentral
LIT,25,WestSouthCentral
LIT,23,WestSouthCentral
HOU,6,WestSouthCentral
TUL,22,WestSouthCentral
TUL,26,WestSouthCentral
OKC,20,WestSouthCentral
IAH,17,WestSouthCentral
AUS,4,WestSouthCentral
ELP,27,WestSouthCentral
AUS,17,WestSouthCentral
HOU,28,WestSouthCentral
LIT,3,WestSouthCentral
MSY,15,WestSouthCentral
IAH,22,WestSouthCentral
MSY,3,WestSouthCentral
DAL,12,WestSouthCentral
AUS,14,WestSouthCentral
LIT,26,WestSouthCentral
DAL,26,WestSouthCentral
SAT,10,WestSouthCentral
HOU,13,WestSouthCentral
OKC,28,WestSouthCentral
SAT,3,WestSouthCentral
DAL,3,WestSouthCentral
AUS,15,WestSouthCentral
AUS,12,WestSouthCentral
OKC,27,WestSouthCentral
MSY,14,WestSouthCentral
HOU,15,WestSouthCentral
LIT,17,WestSouthCentral
ELP,6,WestSouthCentral
DAL,15,WestSouthCentral
LIT,11,WestSouthCentral
ELP,23,WestSouthCentral
IAH,24,WestSouthCentral
MSY,6,WestSouthCentral
ELP,10,WestSouthCentral
DAL,6,WestSouthCentral
ELP,30,WestSouthCentral
TUL,23,WestSouthCentral
HOU,24,WestSouthCentral
ELP,25,WestSouthCentral
TUL,17,WestSouthCentral
AUS,30,WestSouthCentral
MSY,17,WestSouthCentral
HOU,5,WestSouthCentral
DAL,21,WestSouthCentral
HOU,8,WestSouthCentral
SAT,25,WestSouthCentral
IAH,29,WestSouthCentral
SAT,17,WestSouthCentral
TUL,11,WestSouthCentral
AUS,3,WestSouthCentral
LIT,29,WestSouthCentral
TUL,2,WestSouthCentral
HOU,31,WestSouthCentral
LIT,28,WestSouthCentral
ELP,20,WestSouthCentral
SAT,26,WestSouthCentral
TUL,18,WestSouthCentral
MSY,10,WestSouthCentral
IAH,13,WestSouthCentral
DAL,17,WestSouthCentral
IAH,23,WestSouthCentral
OKC,24,WestSouthCentral
MSY,5,WestSouthCentral
HOU,22,WestSouthCentral
OKC,18,WestSouthCentral
IAH,31,WestSouthCentral
TUL,20,WestSouthCentral
SAT,9,WestSouthCentral
